videoId,title,description,channelTitle,publishedAt,videoId.1,politician
sEzvKCPgkjw,President Obama&#39;s Bilateral Meeting with Vice President Xi of China,"President Obama and Vice President Xi Jinping of China make remarks before a bilateral meeting in Washington, DC. February ...",The Obama White House,2012-02-14T19:26:04Z,sEzvKCPgkjw,Barack Obama
wjfzyj4eyQM,President Obama on Cybersecurity,"The President announces his plans for securing America's digital future. May 29, 2009. (Public Domain)",The Obama White House,2009-05-29T20:08:40Z,wjfzyj4eyQM,Barack Obama
fEKx5FuMUR4,"The President Honors the Golden State Warriors, 2015 NBA Champions","On February 4, 2016, President Obama congratulated the Golden State Warriors, the 2015 NBA champions, at the White House.",The Obama White House,2016-02-04T22:20:45Z,fEKx5FuMUR4,Barack Obama
HQD8TWPSDyA,President Obama Speaks on Ebola,"Speaking at the Center for Disease Control and Prevention in Atlanta, Georgia, President Obama provides an update on the U.S. ...",The Obama White House,2014-09-16T21:30:02Z,HQD8TWPSDyA,Barack Obama
s0iwHZLTzdw,President Obama and Iraqi PM Nuri al-Maliki Address the Press,The President sits down with Iraqi Prime Minister Nuri al-Maliki to discuss issues concerning the relationship between the United ...,The Obama White House,2009-10-20T23:57:18Z,s0iwHZLTzdw,Barack Obama
EJEBGf_uS_M,President Obama Meets with Students at an “Hour of Code” Event,"On December 8, 2014, President Obama met with students participating in an “Hour of Code” event at the White House.",The Obama White House,2014-12-08T19:56:50Z,EJEBGf_uS_M,Barack Obama
CMzzlIfgnQY,President Obama&#39;s Bilateral Meeting with President Francois Hollande of France,President Obama and President Francois Hollande of France speak to the press after a bilateral meeting in the Oval Office.,The Obama White House,2012-05-18T20:41:14Z,CMzzlIfgnQY,Barack Obama
YcauV4Rx19A,President Obama&#39;s Bilateral Meeting with President Martelly of Haiti,"President Obama and President Martelly of Haiti speak to the press before a bilateral meeting to discuss the way forward in Haiti, ...",The Obama White House,2014-02-06T23:43:29Z,YcauV4Rx19A,Barack Obama
lX16OrIVfeQ,President Obama at White House Correspondents Dinner,"President Obama at the 2011 White House Correspondents' Association Dinner in Washington, D.C..",The Obama White House,2011-05-01T19:45:40Z,lX16OrIVfeQ,Barack Obama
UKI5i_ZAW_4,President Obama&#39;s Statement on General McChrystal and Afghanistan,"The President announces that he has accepted the resignation of General Stanley McChrystal, that he will nominate General ...",The Obama White House,2010-06-23T19:02:04Z,UKI5i_ZAW_4,Barack Obama
njdWjqX1YrE,President Obama&#39;s full Syria speech,President Obama gave a nationally televised speech stating the case for U.S. action in Syria.,CNN,2013-09-11T15:40:21Z,njdWjqX1YrE,Barack Obama
MGLEaFrrQeE,Jordan Klepper and Gov. Gretchen Whitmer Talk Policy and Drink Beer | The Daily Show,Jordan Klepper returns to his home state of Michigan to have a beer with Governor Gretchen Whitmer and discuss the future of ...,The Daily Show,2023-04-20T03:23:17Z,MGLEaFrrQeE,Gretchen Whitmar
x1v3aIaPd9A,Michigan Gov. Gretchen Whitmer: ‘Bidenomics is working and I think people are going to see it’,President Biden is taking an economic victory lap as his 'Bidenomics' has resulted in low unemployment and falling inflation.,MSNBC,2023-06-29T03:00:23Z,x1v3aIaPd9A,Gretchen Whitmar
tlLogt-aJ4k,Gov. Gretchen Whitmer: &quot;That woman from Michigan&quot;,"In her first term, Michigan's Democratic Governor Gretchen Whitmer weathered the ire of MAGA Republicans and the former ...",CBS Sunday Morning,2023-03-26T14:17:00Z,tlLogt-aJ4k,Gretchen Whitmar
dZYrYlzkx0g,&#39;A significant sentence&#39;: Gov. Whitmer on fate of men who plotted to kidnap her,Michigan Gov. Gretchen Whitmer sits down with CNN's Kaitlan Collins to discuss her plans for her second term as governor and ...,CNN,2023-01-02T14:16:04Z,dZYrYlzkx0g,Gretchen Whitmar
a4_Iqlaw58U,One-on-one with Michigan Gov. Gretchen Whitmer,Live interview with Michigan governor on domestic terror plot and pandemic.,Click On Detroit | Local 4 | WDIV,2020-10-18T12:47:37Z,a4_Iqlaw58U,Gretchen Whitmar
u9_-5j_pJn8,Gov. Gretchen Whitmer - What Michigan Needs to Fight Coronavirus | The Daily Social Distancing Show,"Michigan Governor Gretchen Whitmer talks to Trevor about her state's unique struggles with the coronavirus outbreak, and her ...",The Daily Show,2020-04-02T03:15:00Z,u9_-5j_pJn8,Gretchen Whitmar
cNWGtFCZbn4,Checking in on Gov. Gretchen Whitmer&#39;s promises 6 months after State of the State,Devin Scillian sat down with Michigan Gov. Gretchen Whitmer six months after her State of the State address.,Click On Detroit | Local 4 | WDIV,2023-07-25T21:58:34Z,cNWGtFCZbn4,Gretchen Whitmar
ImUl5tGv16Y,Gov. Whitmer: The people have spoken—and they expect abortion rights,"Gov. Gretchen Whitmer on abortion rights in the wake of a Texas judge's ruling to reverse FDA approval of an abortion drug: ""This ...",MSNBC,2023-04-11T01:39:12Z,ImUl5tGv16Y,Gretchen Whitmar
sCH7n6v4KUg,Meet the Candidates | Gretchen Whitmer,David Nicholas is welcomed by Gretchen Whitmer (D) candidate for MI Governor on this installment of WCMU's Meet the ...,WCMU Public Media,2022-10-24T00:00:15Z,sCH7n6v4KUg,Gretchen Whitmar
0tvXkjg7mns,"Gov. Whitmer: The Biden WH focused on solving problems, not culture wars","Gov. Gretchen Whitmer, D-Mich., discusses President Biden's re-election campaign. » Subscribe to MSNBC: ...",MSNBC,2023-04-26T18:30:02Z,0tvXkjg7mns,Gretchen Whitmar
